"rank","ticker","composite_candidate_score","system_price_date","system_close","manual_price_date","manual_close","change_pct_from_system","manual_latest_price_flag"
"283","CRDO","22.7","2026-05-26","221.64","2026-05-28","222.35","0.32","STABLE"
"284","AMAT","22.668","2026-05-26","454.89","2026-05-28","449.68","-1.15","STABLE"
"285","KLAC","22.644","2026-05-26","2011.39","2026-05-28","1927.63","-4.16","MEDIUM_RECHECK"
"286","OPCH","22.641466","2026-05-21","21.56","2026-05-28","21.58","0.09","STABLE"
"287","STG","22.577206","2026-05-21","3.16","2026-05-28","2.72","-13.92","EXTREME_RECHECK"
"288","HPE","22.404","2026-05-26","38.06","2026-05-28","38.21","0.39","STABLE"
"289","FLEX","22.284","2026-05-26","143.24","2026-05-28","144.85","1.12","STABLE"
"290","PLTR","22.24","2026-05-26","136.6","2026-05-28","143.34","4.93","MEDIUM_RECHECK"
"291","CSGP","22.098806","2026-05-20","34.01","2026-05-28","32.3","-5.03","HIGH_RECHECK"
"292","RBLX","22.031738","2026-05-21","46.48","2026-05-28","46.83","0.75","STABLE"
"293","BTDR","21.856","2026-05-26","15.11","2026-05-28","18.38","21.64","EXTREME_RECHECK"
"294","SPOT","21.079522","2026-05-21","503.52","2026-05-28","516.71","2.62","MEDIUM_RECHECK"
"295","ALAB","20.96","2026-05-26","318.72","2026-05-28","349.17","9.55","HIGH_RECHECK"
"296","STUB","20.599448","2026-05-22","9.98","2026-05-28","9.8","-1.8","STABLE"
"297","OLMA","20.556595","2026-05-21","13.945","2026-05-28","12.76","-8.5","HIGH_RECHECK"
"298","ORCL","20.332","2026-05-26","193.06","2026-05-28","203.7","5.51","HIGH_RECHECK"
"299","SNDK","19.952","2026-05-26","1589.55","2026-05-28","1641.64","3.28","MEDIUM_RECHECK"
"300","IREN","19.192","2026-05-26","59.78","2026-05-28","64.05","7.14","HIGH_RECHECK"
"301","SOXL","18.88","2026-05-26","225.79","2026-05-28","224.63","-0.51","STABLE"
"302","ZS","18.248","2026-05-26","184.6","2026-05-28","130.04","-29.56","EXTREME_RECHECK"
"303","ON","18.12","2026-05-26","127","2026-05-28","123.77","-2.54","MEDIUM_RECHECK"
"304","TER","17.716","2026-05-26","389.14","2026-05-28","382.65","-1.67","STABLE"
"305","ACMR","17.096","2026-05-26","86.46","2026-05-28","92.86","7.4","HIGH_RECHECK"
"306","VECO","16.904","2026-05-26","62.48","2026-05-28","59.13","-5.36","HIGH_RECHECK"
"307","STX","16.572","2026-05-26","845.76","2026-05-28","880.72","4.13","MEDIUM_RECHECK"
"308","AEHR","15.808","2026-05-26","109.92","2026-05-28","99.99","-9.03","HIGH_RECHECK"
"309","CIFR","15.76","2026-05-26","23.02","2026-05-28","24.59","6.82","HIGH_RECHECK"
"310","WDC","15.476","2026-05-26","524.65","2026-05-28","531.18","1.24","STABLE"
"311","IYW","13.928","2026-05-26","247.42","2026-05-28","249.53","0.85","STABLE"
"312","AMD","13.596","2026-05-26","503.89","2026-05-28","518.09","2.82","MEDIUM_RECHECK"
"313","SANM","13.168","2026-05-26","259.97","2026-05-28","263.23","1.25","STABLE"
"314","SMCI","12.38","2026-05-26","37.1","2026-05-28","41.3","11.32","EXTREME_RECHECK"
"315","CORZ","12.048","2026-05-26","26.37","2026-05-28","27.76","5.27","HIGH_RECHECK"
"316","NXPI","11.284","2026-05-26","332.67","2026-05-28","330.28","-0.72","STABLE"
"317","QCOM","10.524","2026-05-26","248.82","2026-05-28","243.29","-2.22","MEDIUM_RECHECK"
"318","DDOG","8.644","2026-05-26","223.65","2026-05-28","225.24","0.71","STABLE"
