script_path,script_type,matched_terms,likely_role,proxy_requirement_detected,exact_reference_lines_or_short_snippets,confidence
D:\us-tech-quant\scripts\v18\v18_13B_R1_stable_snapshot.py,technical,factor_current_csv;factor_pack;tech_current_csv;technical_timing,path_or_report_consumer,NONE,"L30: ""outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv"", | L31: ""outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv"", | L35: ""outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv"", | L36: ""outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_VALUES.csv"",",LOW
D:\us-tech-quant\scripts\v18\v18_13B_ranked_candidate_read_center.py,technical,bb;factor_current_csv;factor_pack;overheat_penalty;tech_current_csv;technical_timing,path_or_report_consumer,NONE,"L54: ""factor_pack_score"", | L56: ""technical_timing_score"", | L67: RANK_COLUMNS = (""rank"", ""shadow_rank"", ""priority_rank"", ""candidate_rank"", ""factor_pack_rank"") | L81: PENALTY_HINTS = (""penalty"", ""risk_penalty"", ""overheat_penalty"")",LOW
D:\us-tech-quant\scripts\v18\v18_14C_ranked_candidate_forward_tracker.py,technical,factor_pack;technical_timing,path_or_report_consumer,NONE,"L250: root / ""outputs/v18/factor_pack"", | L251: root / ""outputs/v18/technical_timing"", | L252: root / ""outputs/v18/technical_timing_backtest"", | L413: ""factor_score"": pick(row, [""factor_pack_score"", ""factor_score""]),",LOW
D:\us-tech-quant\scripts\v18\v18_14D_ranked_candidate_forward_price_filler.py,technical,factor_pack;rsi;technical_timing,path_or_report_consumer,NONE,"L178: root / ""outputs/v18/factor_pack"", | L179: root / ""outputs/v18/technical_timing"", | L180: root / ""outputs/v18/technical_timing_backtest"", | L384: audit_row(""TRACKER"", tracker_path, len(tracker_rows), tracker_fields, tracker_status, ""PERSISTENT_FORWARD_TRACKER""),",LOW
D:\us-tech-quant\scripts\v18\v18_15C_predevelopment_program_audit.py,technical,rsi,path_or_report_consumer,NONE,"L90: ""momentum"": (""momentum"", ""mom"", ""roc"", ""rsi""), | L161: def infer_version(name: str) -> str: | L192: return ""STABLE_OR_VERSIONED_UTILITY"" | L256: ""version_tag"": infer_version(path.name),",LOW
D:\us-tech-quant\scripts\v18\v18_16A_universe_rolling_state_builder.py,factor,factor_pack;qqq,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L62: ""relative_strength_vs_qqq"", | L220: value = first_nonempty(row, [""rank"", ""candidate_rank"", ""factor_pack_rank""])",MEDIUM
D:\us-tech-quant\scripts\v18\v18_16C_scan_scoped_data_update.py,technical,qqq;rsi,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L23: P2_STATUS_WARN_PERSIST = ""WARN_V18_16C_P2_YFINANCE_PROVIDER_CACHE_ERROR_PERSISTS"" | L465: technical_names = [""ret_5d"", ""ret_20d"", ""ret_60d"", ""ret_120d"", ""above_ma20"", ""above_ma60"", ""above_ma120"", ""ma20"", ""ma60"", ""ma120"", ""relative_strength"", ""rs_vs_qqq"", ""rs_vs_smh""] | L1061: p2_status = P2_STATUS_WARN_PERSIST",MEDIUM
D:\us-tech-quant\scripts\v18\v18_16D_priority_based_light_scanner.py,risk,benchmark;qqq,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L27: ""benchmark_data_status"", ""latest_price_date"", ""last_close"", ""earliest_price_date"", | L31: ""simple_volatility_20d"", ""relative_strength_vs_qqq"", ""relative_strength_vs_smh"", | L222: def benchmark_return(root: Path, ticker: str, n: int) -> Tuple[str, str]: | L253: row[""benchmark_data_status""] = ""NOT_EVALUATED_NO_PRICE_DATA""",MEDIUM
D:\us-tech-quant\scripts\v18\v18_16E_promotion_demotion_engine.py,risk,qqq,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L44: ""relative_strength_vs_qqq"", ""relative_strength_vs_smh"", ""volume_surge_score"", | L232: for col, pts in [(""ret_20d"", 10), (""ret_60d"", 15), (""ret_120d"", 10), (""relative_strength_vs_qqq"", 15), (""relative_strength_vs_smh"", 10)]: | L276: for col, pts in [(""ret_20d"", 10), (""ret_60d"", 15), (""relative_strength_vs_qqq"", 15)]: | L410: for col in [""latest_price_date"", ""last_close"", ""ret_5d"", ""ret_20d"", ""ret_60d"", ""ret_120d"", ""above_ma20"", ""above_ma60"", ""above_ma120"", ""distance_from_52w_high"", ""relative_strength_v",MEDIUM
D:\us-tech-quant\scripts\v18\v18_16K_true_5day_unique_coverage_scheduler.py,technical,rsi,path_or_report_consumer,NONE,"L171: ""versioned_universe_state"": root / ""outputs/v18/universe/V18_16A_CURRENT_UNIVERSE_ROLLING_STATE_AUDIT.csv"", | L174: ""versioned_scan_plan"": root / ""outputs/v18/universe/V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv"", | L183: for key in (""current_universe_state"", ""state_universe_state"", ""versioned_universe_state""): | L310: for key in (""current_scan_plan"", ""versioned_scan_plan""):",LOW
D:\us-tech-quant\scripts\v18\v18_17A_ranking_factor_provenance_audit.py,technical,bb;factor_pack;qqq;rsi;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L25: ""RELATIVE_STRENGTH"": [""relative_strength"", ""rs_"", ""vs_qqq"", ""vs_smh"", ""rs_score""], | L26: ""PULLBACK"": [""pullback"", ""bb_lower"", ""dip""], | L41: ""outputs/v18/factor_pack"", | L46: ""outputs/v18/technical_timing"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_18A_storage_slimming_cleanup.py,technical,rsi,path_or_report_consumer,NONE,"L181: key = re.sub(r""V18_\d+[A-Z]?(?:_P\d+)?(?:_R\d+)?"", ""V18_VERSION"", key, flags=re.IGNORECASE) | L182: key = re.sub(r""V18-\d+[A-Z]?"", ""V18_VERSION"", key, flags=re.IGNORECASE)",LOW
D:\us-tech-quant\scripts\v18\v18_18B_stable_snapshot_compression_audit.py,technical,rsi,path_or_report_consumer,NONE,"L192: def infer_version(name: str) -> str: | L329: ""inferred_version"": infer_version(snap.name), | L418: ""folder_path"", ""folder_name"", ""inferred_version"", ""created_or_modified_time"", ""total_size_mb"", ""file_count"", | L521: ""- Output originals are not deleted by this first V18.18B version."",",LOW
D:\us-tech-quant\scripts\v18\v18_18D_large_generated_output_archive_cleanup.py,technical,rsi,path_or_report_consumer,NONE,"L198: key = re.sub(r""V18_\d+[A-Z]?(?:_P\d+)?(?:_R\d+)?"", ""V18_VERSION"", key, flags=re.IGNORECASE)",LOW
D:\us-tech-quant\scripts\v18\v18_18E_technical_timing_current_alias_externalization_audit.py,technical,rsi;technical_timing,path_or_report_consumer,NONE,"L16: STATUS_OK = ""OK_V18_18E_TECHNICAL_TIMING_ALIAS_EXTERNALIZATION_AUDIT_READY"" | L17: STATUS_WARN = ""WARN_V18_18E_TECHNICAL_TIMING_ALIAS_EXTERNALIZATION_AUDIT_VALIDATION_FAILED"" | L176: return ""HISTORICAL_VERSIONED"", ""Versioned or historical generated output"" | L182: target = root / ""outputs/v18/technical_timing_backtest_current"" / path.name",LOW
D:\us-tech-quant\scripts\v18\v18_18F_technical_timing_current_detail_slimming.py,technical,benchmark;qqq;spy;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L17: STATUS_DRYRUN = ""OK_V18_18F_TECHNICAL_TIMING_CURRENT_DETAIL_SLIMMING_AUDIT_READY"" | L18: STATUS_APPLY = ""OK_V18_18F_TECHNICAL_TIMING_CURRENT_DETAIL_SLIMMING_ARCHIVE_APPLIED"" | L19: STATUS_DELETE = ""OK_V18_18F_TECHNICAL_TIMING_CURRENT_DETAIL_VERIFIED_ORIGINALS_DELETED"" | L20: STATUS_WARN = ""WARN_V18_18F_TECHNICAL_TIMING_CURRENT_DETAIL_SLIMMING_VALIDATION_FAILED""",MEDIUM
D:\us-tech-quant\scripts\v18\v18_19A_daily_readability_refactor.py,factor,factor_current_csv;factor_pack,path_or_report_consumer,NONE,"L233: root / ""outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv"", | L428: order_keys = [""rank"", ""factor_pack_rank"", ""candidate_rank"", ""shadow_rank"", ""priority_rank""] | L450: row.get(""factor_pack_score""),",LOW
D:\us-tech-quant\scripts\v18\v18_20A_deep_legacy_cleanup_audit.py,technical,rsi,path_or_report_consumer,NONE,"L351: return ""DELETE_CANDIDATE_LOW_RISK"", ""DELETE_CANDIDATE_DRYRUN"", ""Superseded generated output with versioned name."", dangerous | L356: return ""ARCHIVE_BEFORE_DELETE_CANDIDATE"", ""ARCHIVE_BEFORE_DELETE_DRYRUN"", ""Versioned script from older line; archive before any deletion."", dangerous",LOW
D:\us-tech-quant\scripts\v18\v18_20B_deep_cleanup_triage_report.py,technical,rsi,path_or_report_consumer,NONE,"L306: return ""ARCHIVE_THEN_DELETE_LATER"", ""ARCHIVE_LATER"", ""Versioned historical generated output is likely useful for debugging."", ""MEDIUM""",LOW
D:\us-tech-quant\scripts\v18\v18_20F_legacy_archive_plan_dryrun.py,technical,rsi,path_or_report_consumer,NONE,"L36: ""LEGACY_VERSIONED_SCRIPTS"": ""V18_20F_legacy_versioned_scripts.zip"", | L43: ""LEGACY_VERSIONED_SCRIPTS"": ""legacy_versioned_scripts"", | L304: archive_group = ""LEGACY_VERSIONED_SCRIPTS"" | L382: ""LEGACY_VERSIONED_SCRIPTS"": (0, 0.0, ""ARCHIVE_ONLY"", ZIP_MAP[""LEGACY_VERSIONED_SCRIPTS""]),",LOW
D:\us-tech-quant\scripts\v18\v18_20G_verified_legacy_archive_apply.py,technical,rsi,path_or_report_consumer,NONE,"L25: ""LEGACY_VERSIONED_SCRIPTS"", | L32: ""LEGACY_VERSIONED_SCRIPTS"": ""V18_20G_legacy_versioned_scripts.zip"", | L440: ""planned_later_action"": ""ARCHIVE_ONLY"" if group in {""LEGACY_VERSIONED_SCRIPTS"", ""OLD_EXPERIMENTAL_WRAPPERS""} else ""ARCHIVE_THEN_DELETE_AFTER_VERIFICATION"",",LOW
D:\us-tech-quant\scripts\v18\v18_20H_empty_folder_orphan_output_cleanup.py,factor,factor_pack,path_or_report_consumer,NONE,"L35: ""outputs/v18/factor_pack"",",LOW
D:\us-tech-quant\scripts\v18\v18_20I_apply_empty_directory_cleanup.py,factor,factor_pack,path_or_report_consumer,NONE,"L37: ""outputs/v18/factor_pack"",",LOW
D:\us-tech-quant\scripts\v18\v18_20K_R1_stable_snapshot.py,technical,rsi,path_or_report_consumer,NONE,"L548: v18g_zip_missing = [p for p in [root / ""archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip"", root / ""archive/legacy_cleanup/V1 | L670: f""- V18.20G zip files preserved in repo: {len([p for p in [root / 'archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip', root /",LOW
D:\us-tech-quant\scripts\v18\v18_21A_price_derived_factor_pack.py,factor,factor_pack;market_proxy;qqq;regime;spy;vix;vix_caret;vix_regime,factor_market_proxy_generator,MANDATORY_MARKET_PROXY_QQQ_SPY_VIX,"L14: STATUS_OK = ""OK_V18_21A_PRICE_DERIVED_FACTOR_PACK_READY"" | L15: STATUS_WARN = ""WARN_V18_21A_PRICE_DERIVED_FACTOR_PACK_DEGRADED"" | L38: ""qqq_return_20d"", | L39: ""qqq_return_60d"",",HIGH
D:\us-tech-quant\scripts\v18\v18_21A_R1_data_coverage_scoring_patch.py,factor,factor_pack;market_proxy;qqq;regime;spy;vix,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L10: import v18_21A_price_derived_factor_pack as base | L70: ""vix_missing_cap_applied"", | L71: ""market_proxy_available_count"", | L72: ""market_proxy_required_count"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_21A_R2_price_history_source_coverage_patch.py,factor,factor_pack;market_proxy;qqq;regime;spy;vix;vix_caret,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L11: import v18_21A_price_derived_factor_pack as base | L75: ""can_compute_relative_strength_vs_qqq"", | L92: ""market_proxy_source_paths"", | L93: ""qqq_history_source"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_21A_R3_ticker_price_source_mapping_patch.py,factor,factor_pack;qqq;regime;spy;vix,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L11: import v18_21A_price_derived_factor_pack as base | L62: ""SCORE_READY_RATIO"", ""QQQ_PROXY_STATUS"", ""SPY_PROXY_STATUS"", ""VIX_PROXY_STATUS"", ""VIX_MISSING_CAP_APPLIED"", | L63: ""MARKET_REGIME_STATUS"", ""MARKET_REGIME_LABEL"", ""MARKET_RISK_COEFFICIENT"", ""MARKET_REGIME_CONFIDENCE"", | L274: ""## Market regime proxy status"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_21A_R4_stable_snapshot.py,factor,factor_pack;regime;vix,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L37: ""scripts/v18/v18_21A_price_derived_factor_pack.py"", | L38: ""scripts/v18/run_v18_21A_price_derived_factor_pack.ps1"", | L49: ""outputs/v18/market_regime/V18_21A_CURRENT_LIGHTWEIGHT_MARKET_REGIME.csv"", | L55: ""outputs/v18/market_regime/V18_21A_R1_CURRENT_LIGHTWEIGHT_MARKET_REGIME.csv"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_21B_R1_signal_snapshot_quality_patch.py,technical,factor_pack;regime;technical_timing;vix,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L26: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L113: market = present(row.get(""market_regime_label"")) and present(row.get(""market_risk_coefficient"")) | L137: ""market_regime_available"": str(market).upper(), | L144: missing_factor = not present(row.get(""factor_pack_score"")) and not present(row.get(""factor_pack_rank""))",MEDIUM
D:\us-tech-quant\scripts\v18\v18_21B_R1_stable_snapshot.py,technical,factor_pack;regime;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L29: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L92: ""FACTOR_PACK_COVERAGE_COUNT"", | L93: ""TECHNICAL_TIMING_COVERAGE_COUNT"", | L97: ""MARKET_REGIME_STATUS"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_21B_signal_snapshot_research_linker.py,technical,factor_current_csv;factor_pack;overheat_penalty;regime;tech_current_csv;technical_timing;vix,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L27: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L41: ""factor_pack_rank"", | L42: ""factor_pack_score"", | L44: ""technical_timing_score"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_21C_factor_effectiveness_read_center.py,technical,factor_pack;overheat_penalty;regime;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L30: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L67: ""factor_pack_score"": ""factor_pack_score"", | L69: ""technical_timing_score"": ""technical_timing_score"", | L70: ""overheat_penalty"": ""overheat_penalty"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_21C_R1_sample_maturity_forward_match_patch.py,technical,factor_pack;overheat_penalty;regime;rsi;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L29: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L69: ""factor_pack_score"", | L71: ""technical_timing_score"", | L72: ""overheat_penalty"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_21C_R2_forward_match_key_quality_plan.py,technical,factor_pack;rsi;technical_timing,path_or_report_consumer,NONE,"L26: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L63: ""PRICE_CACHE_MODIFIED"", ""RANKING_MODIFIED"", ""TECHNICAL_TIMING_MODIFIED"", ""PRICE_FACTOR_MODIFIED"", | L264: block = ""NEEDS_MORE_SNAPSHOT_DATE_DIVERSITY"" | L339: ""FORWARD_MATCH_KEY_QUALITY"", ""MULTI_HORIZON_MATURITY"", ""FACTOR_PACK_EFFECTIVENESS"",",LOW
D:\us-tech-quant\scripts\v18\v18_21C_R2_stable_snapshot.py,technical,technical_timing,path_or_report_consumer,NONE,"L29: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L98: ""TECHNICAL_TIMING_MODIFIED"", ""PRICE_FACTOR_MODIFIED"", ""SIGNAL_SNAPSHOT_MODIFIED"",",LOW
D:\us-tech-quant\scripts\v18\v18_21D_forward_tracker_link_key_upgrade_plan.py,technical,technical_timing,path_or_report_consumer,NONE,"L29: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L48: ""outputs/v18/technical_timing_forward/V18_6C_CURRENT_TECHNICAL_TIMING_FORWARD_SUMMARY.csv"", | L81: ""PRICE_CACHE_MODIFIED"", ""RANKING_MODIFIED"", ""TECHNICAL_TIMING_MODIFIED"", ""PRICE_FACTOR_MODIFIED"",",LOW
D:\us-tech-quant\scripts\v18\v18_21D_R1_controlled_forward_tracker_link_key_application.py,technical,factor_current_csv;factor_pack;qqq;rsi;tech_current_csv;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L31: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L55: ""CURRENT_DAILY_MODIFIED"", ""STATE_MODIFIED"", ""RANKING_MODIFIED"", ""TECHNICAL_TIMING_MODIFIED"", ""PRICE_FACTOR_MODIFIED"", | L119: root / ""state/v18/price_cache/QQQ.csv"", | L121: root / ""outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_21D_R1_stable_snapshot.py,technical,technical_timing,path_or_report_consumer,NONE,"L37: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L105: ""STATE_MODIFIED"", ""RANKING_MODIFIED"", ""TECHNICAL_TIMING_MODIFIED"",",LOW
D:\us-tech-quant\scripts\v18\v18_21D_stable_snapshot.py,technical,technical_timing,path_or_report_consumer,NONE,"L33: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L81: ""PRICE_CACHE_MODIFIED"", ""RANKING_MODIFIED"", ""TECHNICAL_TIMING_MODIFIED"", ""PRICE_FACTOR_MODIFIED"",",LOW
D:\us-tech-quant\scripts\v18\v18_21E_event_risk_coefficient_engine.py,technical,factor_current_csv;factor_pack;qqq;regime;spy;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L57: RANKING_PATH = ""outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv"" | L59: MARKET_REGIME_PATH = ""outputs/v18/market_regime/V18_21A_R2_CURRENT_LIGHTWEIGHT_MARKET_REGIME.csv"" | L94: ""asof_date"", ""ticker"", ""signal_snapshot_id"", ""raw_research_score"", ""factor_pack_score"", | L95: ""composite_candidate_score"", ""price_derived_total_score"", ""technical_timing_score"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_21E_R1_hard_lock_overlay_semantics_patch.py,technical,factor_pack;qqq;regime;spy;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L84: ""asof_date"", ""ticker"", ""signal_snapshot_id"", ""raw_research_score"", ""factor_pack_score"", | L85: ""composite_candidate_score"", ""price_derived_total_score"", ""technical_timing_score"", | L273: base.MARKET_REGIME_PATH, | L277: ""state/v18/price_cache/QQQ.csv"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_21F_stable_snapshot.py,technical,technical_timing,path_or_report_consumer,NONE,"L35: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L99: ""FORWARD_TRACKER_MODIFIED"", ""PRICE_FACTOR_MODIFIED"", ""TECHNICAL_TIMING_MODIFIED"",",LOW
D:\us-tech-quant\scripts\v18\v18_21F_unified_research_chain_read_center.py,technical,factor_current_csv;factor_pack;qqq;spy;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L34: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L78: ""FORWARD_TRACKER_MODIFIED"", ""PRICE_FACTOR_MODIFIED"", ""TECHNICAL_TIMING_MODIFIED"", | L146: ""outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv"", | L153: ""state/v18/price_cache/QQQ.csv"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_21G_controlled_forward_outcome_filler_design.py,technical,factor_current_csv;factor_pack;qqq;spy;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L37: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L65: ""TECHNICAL_TIMING_MODIFIED"", ""PROMOTION_DEMOTION_MODIFIED"", ""MANUAL_STATE_MODIFIED"", | L387: ""outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv"", | L388: ""state/v18/price_cache/QQQ.csv"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_21G_stable_snapshot.py,technical,technical_timing,path_or_report_consumer,NONE,"L40: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L97: ""TECHNICAL_TIMING_MODIFIED"", ""PROMOTION_DEMOTION_MODIFIED"", ""MANUAL_STATE_MODIFIED"",",LOW
D:\us-tech-quant\scripts\v18\v18_21H_full_history_backfill_design.py,technical,factor_current_csv;factor_pack;qqq;spy;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L38: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L73: ""FORWARD_TRACKER_MODIFIED"", ""PRICE_FACTOR_MODIFIED"", ""TECHNICAL_TIMING_MODIFIED"", | L185: ""state/v18/price_cache/QQQ.csv"", | L186: ""state/v18/price_cache/SPY.csv"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_21H_R1_controlled_staged_backfill_batch1_design.py,technical,factor_current_csv;factor_pack;qqq;spy;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L40: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L74: ""FORWARD_TRACKER_MODIFIED"", ""PRICE_FACTOR_MODIFIED"", ""TECHNICAL_TIMING_MODIFIED"", | L191: ""state/v18/price_cache/QQQ.csv"", | L192: ""state/v18/price_cache/SPY.csv"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_21H_R1_stable_snapshot.py,technical,factor_current_csv;factor_pack;qqq;spy;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L41: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L109: ""FORWARD_TRACKER_MODIFIED"", ""PRICE_FACTOR_MODIFIED"", ""TECHNICAL_TIMING_MODIFIED"", | L316: ""state/v18/price_cache/QQQ.csv"", | L317: ""state/v18/price_cache/SPY.csv"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_21H_stable_snapshot.py,technical,factor_current_csv;factor_pack;qqq;spy;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L38: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L85: ""FORWARD_TRACKER_MODIFIED"", ""PRICE_FACTOR_MODIFIED"", ""TECHNICAL_TIMING_MODIFIED"", | L276: ""state/v18/price_cache/QQQ.csv"", | L277: ""state/v18/price_cache/SPY.csv"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_21I_stable_snapshot.py,technical,factor_current_csv;factor_pack;qqq;spy;tech_current_csv;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L41: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L106: ""PRICE_FACTOR_MODIFIED"", ""TECHNICAL_TIMING_MODIFIED"", ""PROMOTION_DEMOTION_MODIFIED"", | L309: ""state/v18/price_cache/QQQ.csv"", | L310: ""state/v18/price_cache/SPY.csv"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_21I_unified_backtest_research_design.py,technical,factor_current_csv;factor_pack;overheat_penalty;qqq;regime;spy;tech_current_csv;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L42: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L66: (""TECHNICAL_TIMING"", ""outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv"", False), | L67: (""FACTOR_PACK_RANKING"", ""outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv"", False), | L105: ""PRICE_FACTOR_MODIFIED"", ""TECHNICAL_TIMING_MODIFIED"", ""PROMOTION_DEMOTION_MODIFIED"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_22A_research_command_center.py,technical,factor_current_csv;factor_pack;qqq;spy;tech_current_csv;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L44: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L106: ""FORWARD_TRACKER_MODIFIED"", ""PRICE_FACTOR_MODIFIED"", ""TECHNICAL_TIMING_MODIFIED"", | L196: ""outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv"", | L204: ""outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_22A_stable_snapshot.py,technical,factor_current_csv;factor_pack;qqq;spy;tech_current_csv;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L45: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L110: ""FORWARD_TRACKER_MODIFIED"", ""PRICE_FACTOR_MODIFIED"", ""TECHNICAL_TIMING_MODIFIED"", | L315: ""state/v18/price_cache/QQQ.csv"", | L316: ""state/v18/price_cache/SPY.csv"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_22B_daily_research_command_center_wrapper.py,technical,factor_current_csv;factor_pack;qqq;spy;tech_current_csv;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L47: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L100: ""PRICE_FACTOR_MODIFIED"", ""TECHNICAL_TIMING_MODIFIED"", ""PROMOTION_DEMOTION_MODIFIED"", | L181: ""outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv"", | L184: ""state/v18/price_cache/QQQ.csv"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_22B_stable_snapshot.py,technical,factor_current_csv;factor_pack;qqq;spy;tech_current_csv;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L47: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L118: ""FORWARD_TRACKER_MODIFIED"", ""PRICE_FACTOR_MODIFIED"", ""TECHNICAL_TIMING_MODIFIED"", | L326: ""state/v18/price_cache/QQQ.csv"", | L327: ""state/v18/price_cache/SPY.csv"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_22C_research_packet_writer.py,technical,factor_current_csv;factor_pack;qqq;spy;tech_current_csv;technical_timing,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L47: ""TECHNICAL_TIMING_MODIFIED"": ""FALSE"", | L110: ""TECHNICAL_TIMING_MODIFIED"", ""PROMOTION_DEMOTION_MODIFIED"", ""MANUAL_STATE_MODIFIED"", | L188: ""outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv"", | L193: ""outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv"",",MEDIUM
