ticker,rank,primary_theme_before,primary_theme_after,company_name_before,company_name_after,manual_review_required_before,manual_review_required_after,updated,update_reason
STX,204,DATA_INFRASTRUCTURE,DATA_INFRASTRUCTURE,Seagate Technology Holdings plc,Seagate Technology Holdings plc,FALSE,FALSE,TRUE,notes
FN,205,DATA_INFRASTRUCTURE,DATA_INFRASTRUCTURE,Fabrinet,Fabrinet,FALSE,FALSE,TRUE,notes
CRWD,206,CYBERSECURITY,CYBERSECURITY,CrowdStrike Holdings Inc.,CrowdStrike Holdings Inc.,FALSE,FALSE,TRUE,notes
CART,207,ECOMMERCE,ECOMMERCE,Maplebear Inc.,Maplebear Inc.,FALSE,FALSE,TRUE,notes
AGX,208,POWER_INFRASTRUCTURE,POWER_INFRASTRUCTURE,Argan Inc.,Argan Inc.,FALSE,FALSE,TRUE,notes
PANW,209,CYBERSECURITY,CYBERSECURITY,Palo Alto Networks Inc.,Palo Alto Networks Inc.,FALSE,FALSE,TRUE,notes
AAL,210,TRANSPORTATION,TRANSPORTATION,American Airlines Group Inc.,American Airlines Group Inc.,FALSE,FALSE,TRUE,notes
SMCI,211,AI_INFRASTRUCTURE,AI_INFRASTRUCTURE,Super Micro Computer Inc.,Super Micro Computer Inc.,FALSE,FALSE,TRUE,notes
ALM,212,UNKNOWN,UNKNOWN,,,TRUE,TRUE,FALSE,
IREN,213,CRYPTO_BETA,CRYPTO_BETA,IREN Limited,IREN Limited,FALSE,FALSE,TRUE,notes
COHR,214,DATA_INFRASTRUCTURE,DATA_INFRASTRUCTURE,Coherent Corp.,Coherent Corp.,FALSE,FALSE,TRUE,notes
MDB,215,SOFTWARE,SOFTWARE,MongoDB Inc.,MongoDB Inc.,FALSE,FALSE,TRUE,notes
CSCO,216,DATA_INFRASTRUCTURE,DATA_INFRASTRUCTURE,Cisco Systems Inc.,Cisco Systems Inc.,FALSE,FALSE,TRUE,notes
CORZ,217,CRYPTO_BETA,CRYPTO_BETA,Core Scientific Inc.,Core Scientific Inc.,FALSE,FALSE,TRUE,notes
SANM,218,ELECTRONICS_SUPPLY_CHAIN,ELECTRONICS_SUPPLY_CHAIN,Sanmina Corporation,Sanmina Corporation,FALSE,FALSE,TRUE,notes
BIDU,219,INTERNET_PLATFORM,INTERNET_PLATFORM,Baidu Inc.,Baidu Inc.,FALSE,FALSE,TRUE,notes
MOH,220,HEALTHCARE,HEALTHCARE,Molina Healthcare Inc.,Molina Healthcare Inc.,FALSE,FALSE,TRUE,notes
ON,221,SEMICONDUCTOR,SEMICONDUCTOR,ON Semiconductor Corporation,ON Semiconductor Corporation,FALSE,FALSE,TRUE,notes
MRVL,222,SEMICONDUCTOR,SEMICONDUCTOR,Marvell Technology Inc.,Marvell Technology Inc.,FALSE,FALSE,TRUE,notes
IRDM,223,DATA_INFRASTRUCTURE,DATA_INFRASTRUCTURE,Iridium Communications Inc.,Iridium Communications Inc.,FALSE,FALSE,TRUE,notes
CIFR,224,CRYPTO_BETA,CRYPTO_BETA,Cipher Mining Inc.,Cipher Mining Inc.,FALSE,FALSE,TRUE,notes
AFRM,225,FINTECH,FINTECH,Affirm Holdings Inc.,Affirm Holdings Inc.,FALSE,FALSE,TRUE,notes
MU,226,SEMICONDUCTOR,SEMICONDUCTOR,Micron Technology Inc.,Micron Technology Inc.,FALSE,FALSE,TRUE,notes
ZS,227,CYBERSECURITY,CYBERSECURITY,Zscaler Inc.,Zscaler Inc.,FALSE,FALSE,TRUE,notes
DELL,228,AI_INFRASTRUCTURE,AI_INFRASTRUCTURE,Dell Technologies Inc.,Dell Technologies Inc.,FALSE,FALSE,TRUE,notes
MTSI,229,SEMICONDUCTOR,SEMICONDUCTOR,MACOM Technology Solutions Holdings Inc.,MACOM Technology Solutions Holdings Inc.,FALSE,FALSE,TRUE,notes
ACLS,230,SEMICONDUCTOR_EQUIPMENT,SEMICONDUCTOR_EQUIPMENT,Axcelis Technologies Inc.,Axcelis Technologies Inc.,FALSE,FALSE,TRUE,notes
SNDK,231,SEMICONDUCTOR,SEMICONDUCTOR,SanDisk Corporation,SanDisk Corporation,FALSE,FALSE,TRUE,notes
APP,232,SOFTWARE,SOFTWARE,AppLovin Corporation,AppLovin Corporation,FALSE,FALSE,TRUE,notes
VECO,233,SEMICONDUCTOR_EQUIPMENT,SEMICONDUCTOR_EQUIPMENT,Veeco Instruments Inc.,Veeco Instruments Inc.,FALSE,FALSE,TRUE,notes
BE,234,POWER_INFRASTRUCTURE,POWER_INFRASTRUCTURE,Bloom Energy Corporation,Bloom Energy Corporation,FALSE,FALSE,TRUE,notes
TXN,235,SEMICONDUCTOR,SEMICONDUCTOR,Texas Instruments Incorporated,Texas Instruments Incorporated,FALSE,FALSE,TRUE,notes
CLF,236,INDUSTRIAL,INDUSTRIAL,Cleveland-Cliffs Inc.,Cleveland-Cliffs Inc.,FALSE,FALSE,TRUE,notes
ALAB,237,AI_INFRASTRUCTURE,AI_INFRASTRUCTURE,Astera Labs Inc.,Astera Labs Inc.,FALSE,FALSE,TRUE,notes
QCOM,238,SEMICONDUCTOR,SEMICONDUCTOR,QUALCOMM Incorporated,QUALCOMM Incorporated,FALSE,FALSE,TRUE,notes
AEHR,239,SEMICONDUCTOR_EQUIPMENT,SEMICONDUCTOR_EQUIPMENT,Aehr Test Systems,Aehr Test Systems,FALSE,FALSE,TRUE,notes
AMD,240,SEMICONDUCTOR,SEMICONDUCTOR,Advanced Micro Devices Inc.,Advanced Micro Devices Inc.,FALSE,FALSE,TRUE,notes
NXPI,241,SEMICONDUCTOR,SEMICONDUCTOR,NXP Semiconductors N.V.,NXP Semiconductors N.V.,FALSE,FALSE,TRUE,notes
SOXL,242,SEMICONDUCTOR,SEMICONDUCTOR,Direxion Daily Semiconductor Bull 3X Shares,Direxion Daily Semiconductor Bull 3X Shares,FALSE,FALSE,TRUE,notes
BTDR,243,CRYPTO_BETA,CRYPTO_BETA,Bitdeer Technologies Group,Bitdeer Technologies Group,FALSE,FALSE,TRUE,notes
INTC,244,SEMICONDUCTOR,SEMICONDUCTOR,Intel Corporation,Intel Corporation,FALSE,FALSE,TRUE,notes
FLEX,245,ELECTRONICS_SUPPLY_CHAIN,ELECTRONICS_SUPPLY_CHAIN,Flex Ltd.,Flex Ltd.,FALSE,FALSE,TRUE,notes
LSCC,246,SEMICONDUCTOR,SEMICONDUCTOR,Lattice Semiconductor Corporation,Lattice Semiconductor Corporation,FALSE,FALSE,TRUE,notes
NAMS,247,UNKNOWN,UNKNOWN,,,TRUE,TRUE,FALSE,
ARM,248,SEMICONDUCTOR,SEMICONDUCTOR,Arm Holdings plc,Arm Holdings plc,FALSE,FALSE,TRUE,notes
BITF,249,CRYPTO_BETA,CRYPTO_BETA,Bitfarms Ltd.,Bitfarms Ltd.,FALSE,FALSE,TRUE,notes
CLSK,250,CRYPTO_BETA,CRYPTO_BETA,CleanSpark Inc.,CleanSpark Inc.,FALSE,FALSE,TRUE,notes
AEVA,251,AI_INFRASTRUCTURE,AI_INFRASTRUCTURE,Aeva Technologies Inc.,Aeva Technologies Inc.,FALSE,FALSE,TRUE,notes
DDOG,252,SOFTWARE,SOFTWARE,Datadog Inc.,Datadog Inc.,FALSE,FALSE,TRUE,notes
